date,sessions,users,new_sessions,pageviews,pages_per_session,ave_session_duration,bounce_rate,scroll_videopromo,scroll_whatstoutbay,scroll_howitworks,scroll_faq,scroll_latestfeeds,chrome,safari,firefox,internet_explorer,windows,macintosh,ios,android
6/28/14,4,4,0.00,8,2,0:01:26,75.00,2,2,1,1,1,3,0,0,1,2,1,0,1
6/29/14,1,1,100.00,1,1,0:00:00,100.00,0,0,0,0,0,0,1,0,0,0,0,1,0
6/30/14,6,6,100.00,23,3.83,0:04:00,16.67,7,5,4,3,3,4,1,1,0,1,3,1,1
7/1/14,13,12,92.31,48,3.69,0:05:02,23.08,16,15,13,13,10,4,5,2,2,5,3,4,1
7/2/14,5,4,80.00,6,1.2,0:00:02,80.00,3,3,3,3,1,3,2,0,0,3,2,0,0
7/3/14,7,6,57.14,19,2.71,0:00:53,85.71,7,4,4,3,1,3,3,0,1,2,2,2,1
7/4/14,1,1,0.00,2,2,0:01:26,0.00,1,1,1,1,0,1,0,0,0,0,0,0,1
7/5/14,1,1,100.00,3,3,0:00:33,0.00,2,0,0,0,0,0,1,0,0,0,0,1,0
7/6/14,2,2,100.00,3,1.5,0:00:26,50.00,2,2,2,2,2,1,0,1,0,2,0,0,0
7/7/14,1,2,100.00,1,1,0:00:00,100.00,1,2,1,1,1,1,0,0,0,0,1,0,0
7/8/14,7,7,85.71,16,2.29,0:01:48,57.14,5,5,5,5,4,4,1,1,1,5,0,1,1
7/9/14,16,14,87.50,38,2.38,0:00:39,43.75,11,8,4,4,2,9,4,2,1,10,1,3,1
7/10/14,6,6,83.33,10,1.67,0:00:11,50.00,0,0,0,0,0,1,1,3,1,5,1,0,0
7/11/14,6,5,66.67,36,6,0:06:02,50.00,2,2,2,2,1,1,1,0,2,5,1,0,0
7/12/14,5,3,40.00,52,10.4,0:07:11,0.00,7,5,3,2,1,3,1,0,0,3,0,1,1
7/13/14,2,2,0.00,2,1,0:00:00,100.00,1,0,0,0,0,1,1,0,0,1,0,1,0
7/14/14,6,5,50.00,8,1.33,0:00:12,83.33,0,0,0,0,0,1,3,0,2,3,3,0,0
7/15/14,3,3,100.00,5,1.67,0:00:23,66.67,1,1,1,1,1,2,0,1,0,3,0,0,0
7/16/14,4,3,25.00,6,1.5,0:00:36,50.00,2,2,2,2,1,1,3,0,0,1,2,1,0
7/17/14,2,2,50.00,2,1,0:00:00,100.00,1,1,0,0,0,1,1,0,0,1,1,0,0
7/18/14,3,3,100.00,5,1.67,0:01:43,66.67,1,1,1,1,0,1,0,1,1,3,0,0,0
7/19/14,1,1,100.00,5,5,0:00:55,0.00,0,0,0,0,0,1,0,0,0,0,1,0,0
7/20/14,1,1,0.00,6,6,0:09:06,0.00,1,1,1,0,0,1,0,0,0,1,0,0,0
7/21/14,2,2,100.00,2,1,0:00:00,100.00,2,2,1,0,0,2,0,0,0,2,0,0,0
7/22/14,0,0,0.00,0,0,0:00:00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0
7/23/14,0,0,0.00,0,0,0:00:00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0
7/24/14,1,1,100.00,4,4,0:05:16,0.00,1,0,0,0,0,0,1,0,0,0,0,1,0
7/25/14,7,7,71.43,21,3,0:02:38,42.86,5,5,5,5,4,5,0,1,1,4,2,0,0
7/26/14,0,0,0.00,0,0,0:00:00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0
7/27/14,0,0,0.00,0,0,0:00:00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0
7/28/14,0,0,0.00,0,0,0:00:00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0
7/29/14,1,1,100.00,7,7,0:01:23,0.00,0,0,0,0,0,1,0,0,0,1,0,0,0
7/30/14,1,1,100.00,3,3,0:00:54,0.00,1,0,0,0,0,0,0,1,0,1,0,0,0
7/31/14,4,2,50.00,10,2.5,0:03:29,50.00,3,3,3,1,0,2,0,0,2,4,0,0,0
8/1/14,3,3,100.00,6,2,0:00:38,33.33,2,2,1,1,1,2,0,0,1,2,0,0,0
8/2/14,0,0,0.00,0,0,0:00:00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0
8/3/14,0,0,0.00,0,0,0:00:00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0
8/4/14,1,1,100.00,10,10,0:02:13,0.00,0,0,0,0,0,1,0,0,0,1,0,0,0
8/5/14,0,0,0.00,0,0,0:00:00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0
8/6/14,3,3,100.00,8,2.67,0:01:16,33.33,0,0,0,0,0,1,1,1,0,1,1,0,0
8/7/14,2,2,50.00,3,1.5,0:01:33,50.00,0,0,0,0,0,2,0,0,0,2,0,0,0
8/8/14,2,2,100.00,2,1,0:00:00,100.00,2,2,2,2,2,1,0,1,0,2,0,0,0
8/9/14,0,0,0.00,0,0,0:00:00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0
8/10/14,3,3,100.00,21,7,0:04:14,33.33,4,4,4,4,4,2,1,0,0,0,3,0,0
8/11/14,0,0,0.00,0,0,0:00:00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0
8/12/14,5,5,100.00,12,2.4,0:01:56,40.00,3,3,2,2,1,2,1,2,0,4,1,0,0
8/13/14,1,1,100.00,1,1,0:00:00,100.00,1,1,1,1,1,0,1,0,0,0,1,0,0
8/14/14,3,3,100.00,9,3,0:02:16,33.33,1,1,1,1,1,1,1,0,1,2,0,1,0
8/15/14,4,4,75.00,17,4.25,0:01:19,50.00,1,0,0,0,0,3,0,1,0,4,0,0,0
8/16/14,0,0,0.00,0,0,0:00:00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0
8/17/14,1,1,0.00,2,2,0:03:09,0.00,0,0,0,0,0,1,0,0,0,1,0,0,0
8/18/14,2,2,100.00,2,1,0:00:00,100.00,2,2,2,1,1,2,0,0,0,1,1,0,0
8/19/14,2,1,0.00,7,3.5,0:00:47,0.00,0,0,0,0,0,2,0,0,0,2,0,0,0
8/20/14,3,3,66.67,12,4,0:02:03,33.33,2,2,2,2,2,2,1,0,0,2,0,1,0
8/21/14,3,2,66.67,8,2.67,0:03:28,66.67,2,2,2,2,1,0,3,0,0,0,1,2,0
8/22/14,3,2,33.33,6,2,0:00:21,66.67,0,0,0,0,0,3,0,0,0,2,1,0,0
8/23/14,1,1,0.00,2,2,0:00:04,0.00,0,0,0,0,0,1,0,0,0,1,0,0,0
8/24/14,2,2,50.00,5,2.5,0:10:22,0.00,0,0,0,0,0,2,0,0,0,2,0,0,0
8/25/14,3,3,100.00,7,2.33,0:00:21,66.67,3,2,1,1,0,1,1,1,0,2,0,1,0
8/26/14,0,0,0.00,0,0,0:00:00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0
8/27/14,1,1,100.00,6,6,0:02:58,0.00,0,0,0,0,0,1,0,0,0,0,1,0,0
8/28/14,0,0,0.00,0,0,0:00:00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0
8/29/14,1,1,100.00,2,2,0:01:14,0.00,1,1,1,1,1,1,0,0,0,0,1,0,0
8/30/14,0,0,0.00,0,0,0:00:00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0
8/31/14,2,2,100.00,8,4,0:02:23,0.00,0,0,0,0,0,1,1,0,0,1,0,1,0
9/1/14,2,2,50.00,6,3,0:00:19,0.00,1,1,1,1,1,1,1,0,0,1,1,0,0
9/2/14,1,1,100.00,1,1,0:00:00,100.00,0,0,0,0,0,1,0,0,0,1,0,0,0
9/3/14,1,1,0.00,3,3,0:00:34,0.00,1,1,1,1,1,1,0,0,0,0,1,0,0
9/4/14,2,1,50.00,5,2.5,0:01:47,0.00,0,1,1,1,1,2,0,0,0,2,0,0,0
9/5/14,0,0,0.00,0,0,0:00:00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0
9/6/14,0,0,0.00,0,0,0:00:00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0
9/7/14,2,2,50.00,7,3.5,0:00:19,50.00,2,2,2,2,1,1,1,0,0,0,1,0,0
9/8/14,1,1,100.00,2,2,0:00:19,0.00,0,0,0,0,0,0,0,1,0,1,0,0,0
9/9/14,1,1,0.00,1,1,0:00:00,100.00,0,0,0,0,0,0,1,0,0,0,0,1,0
9/10/14,2,2,100.00,5,2.5,0:01:18,0.00,2,2,1,1,1,1,1,0,0,1,1,0,0
9/11/14,2,2,100.00,4,2,0:00:31,50.00,2,0,0,0,0,0,0,0,1,1,0,1,0
9/12/14,0,0,0.00,0,0,0:00:00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0
9/13/14,0,0,0.00,0,0,0:00:00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0
9/14/14,2,2,100.00,8,4,0:02:29,0.00,2,1,1,1,1,1,1,0,0,0,0,1,1
9/15/14,0,0,0.00,0,0,0:00:00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0
9/16/14,0,0,0.00,0,0,0:00:00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0
9/17/14,2,2,100.00,3,1.5,0:00:18,50.00,1,1,1,1,1,1,0,1,0,0,2,0,0
9/18/14,4,4,50.00,11,2.75,0:00:45,50.00,4,4,3,3,2,3,0,1,0,2,2,0,0
9/19/14,2,2,50.00,6,3,0:01:12,0.00,1,1,0,0,0,2,0,0,0,2,0,0,0
